,resizing_size,neurons_1,neurons_2,neurons_3,dropout_rate,activation,train_loss,train_acc,es_loss,es_acc,val_loss,val_acc
0,8,512,256,,0.2,relu,0.8959831595420837,0.7174479365348816,1.429551601409912,0.484375,1.5504697561264038,0.4453125
1,8,512,256,128.0,0.2,relu,1.0956642627716064,0.6067708134651184,1.4869672060012817,0.4609375,1.5911917686462402,0.37890625
2,8,1024,256,,0.2,relu,1.0005863904953003,0.69140625,1.4744106531143188,0.484375,1.5714738368988037,0.43359375
3,8,1024,256,128.0,0.2,relu,1.0851349830627441,0.6158854365348816,1.450893759727478,0.45703125,1.6222716569900513,0.37109375
4,16,512,256,,0.2,relu,0.8818734288215637,0.7447916865348816,1.4479234218597412,0.484375,1.5352176427841187,0.4453125
5,16,512,256,128.0,0.2,relu,0.827610194683075,0.7369791865348816,1.4876457452774048,0.5,1.590354084968567,0.4453125
6,16,1024,256,,0.2,relu,1.0274310111999512,0.6731770634651184,1.4462592601776123,0.484375,1.5309382677078247,0.44140625
7,16,1024,256,128.0,0.2,relu,1.1118708848953247,0.6341145634651184,1.479640007019043,0.46484375,1.5827727317810059,0.41015625
