resizing_size,neurons_1,neurons_2,neurons_3,dropout_rate,activation,train_loss,train_acc,es_loss,es_acc,val_loss,val_acc
8,1024,256,,0.4,tanh,1.3193451166152954,0.5572916865348816,1.544969081878662,0.43359375,1.569686770439148,0.44140625
8,1024,256,128.0,0.0,relu,0.9272415637969971,0.6588541865348816,1.4578534364700317,0.44140625,1.5458364486694336,0.40234375
8,1024,256,128.0,0.0,tanh,1.1305007934570312,0.6119791865348816,1.4566195011138916,0.46875,1.5226441621780396,0.4140625
8,1024,256,128.0,0.2,relu,1.1360039710998535,0.59375,1.4784120321273804,0.46875,1.5875271558761597,0.40234375
8,1024,256,128.0,0.2,tanh,0.9557264447212219,0.7174479365348816,1.4525933265686035,0.46875,1.5074459314346313,0.44140625
8,1024,256,128.0,0.4,relu,1.410696029663086,0.4778645932674408,1.5702202320098877,0.39453125,1.655013918876648,0.359375
8,1024,256,128.0,0.4,tanh,1.343775749206543,0.5247395634651184,1.5784690380096436,0.44140625,1.5933277606964111,0.41015625
8,1024,256,256.0,0.0,relu,1.1033161878585815,0.6028645634651184,1.4868175983428955,0.484375,1.5171808004379272,0.44921875
8,1024,256,256.0,0.0,tanh,0.8280136585235596,0.7252604365348816,1.4577864408493042,0.48046875,1.5823849439620972,0.43359375
8,1024,256,256.0,0.2,relu,0.9532756209373474,0.6940104365348816,1.448781967163086,0.5,1.595566749572754,0.4375
8,1024,256,256.0,0.2,tanh,1.0721603631973267,0.65625,1.4745279550552368,0.46484375,1.507802963256836,0.46875
8,1024,256,256.0,0.4,relu,1.383826732635498,0.4921875,1.5646007061004639,0.40625,1.6317722797393799,0.3828125
8,1024,256,256.0,0.4,tanh,1.3773945569992065,0.4973958432674408,1.5472233295440674,0.4296875,1.567720890045166,0.41015625
8,1024,512,,0.0,relu,0.8569900393486023,0.7161458134651184,1.431359052658081,0.453125,1.5185624361038208,0.4375
8,1024,512,,0.0,tanh,0.6642219424247742,0.8046875,1.434548258781433,0.48828125,1.5007210969924927,0.46484375
8,1024,512,,0.2,relu,1.1477677822113037,0.61328125,1.4718965291976929,0.45703125,1.5600131750106812,0.42578125
8,1024,512,,0.2,tanh,1.1395375728607178,0.6393229365348816,1.4611186981201172,0.4921875,1.4647972583770752,0.4453125
8,1024,512,,0.4,relu,1.3384733200073242,0.54296875,1.524484395980835,0.4296875,1.6081701517105103,0.41796875
8,1024,512,,0.4,tanh,1.3171966075897217,0.5416666865348816,1.527980089187622,0.44140625,1.5610177516937256,0.4453125
8,1024,512,128.0,0.0,relu,1.0497102737426758,0.6315104365348816,1.43996000289917,0.4765625,1.4943751096725464,0.4140625
8,1024,512,128.0,0.0,tanh,0.6228231191635132,0.8359375,1.4424556493759155,0.48828125,1.4728511571884155,0.44921875
8,1024,512,128.0,0.2,relu,1.2720242738723755,0.5520833134651184,1.5075716972351074,0.44921875,1.5794076919555664,0.421875
8,1024,512,128.0,0.2,tanh,1.1404693126678467,0.6028645634651184,1.4615753889083862,0.44921875,1.5107535123825073,0.4296875
8,1024,512,128.0,0.4,relu,1.3726516962051392,0.51171875,1.5592256784439087,0.4296875,1.6465671062469482,0.3828125
8,1024,512,128.0,0.4,tanh,1.3576126098632812,0.5338541865348816,1.556923270225525,0.421875,1.5701786279678345,0.421875
8,1024,512,256.0,0.0,relu,0.9695939421653748,0.6640625,1.474687099456787,0.44921875,1.508419156074524,0.4296875
8,1024,512,256.0,0.0,tanh,0.5676411986351013,0.859375,1.4415792226791382,0.484375,1.5032374858856201,0.43359375
8,1024,512,256.0,0.2,relu,1.201223373413086,0.5950520634651184,1.5025888681411743,0.453125,1.569301724433899,0.4375
8,1024,512,256.0,0.2,tanh,1.1424951553344727,0.5924479365348816,1.492424726486206,0.421875,1.512814998626709,0.44921875
8,1024,512,256.0,0.4,relu,1.401948094367981,0.5078125,1.5567235946655273,0.41796875,1.6200110912322998,0.3828125
8,1024,512,256.0,0.4,tanh,1.2665860652923584,0.5533854365348816,1.550438404083252,0.44140625,1.5602140426635742,0.421875
16,512,256,,0.0,relu,1.0227458477020264,0.640625,1.513033390045166,0.47265625,1.529971718788147,0.4296875
16,512,256,,0.0,tanh,1.1066704988479614,0.60546875,1.4920343160629272,0.484375,1.4740357398986816,0.47265625
16,512,256,,0.2,relu,1.0883885622024536,0.6575520634651184,1.4468854665756226,0.48046875,1.5319037437438965,0.4375
