filter_size_1,filter_size_2,pooling,dropout_rate,activation,train_loss,train_acc,es_loss,es_acc,val_loss,val_acc
7,5,average,0.4,relu,0.3739786148071289,0.8815104365348816,1.126551866531372,0.6796875,1.3377594947814941,0.60546875
7,5,average,0.4,tanh,0.7782188057899475,0.7408854365348816,1.145039677619934,0.5859375,1.4582520723342896,0.53125
7,5,max,0.0,relu,0.7243098616600037,0.7356770634651184,1.114723801612854,0.61328125,1.0928668975830078,0.60546875
7,5,max,0.0,tanh,0.11530358344316483,0.9869791865348816,0.8995161652565002,0.7109375,1.079309105873108,0.66015625
7,5,max,0.2,relu,0.2628333866596222,0.9244791865348816,1.0057644844055176,0.66015625,1.2737213373184204,0.6328125
7,5,max,0.2,tanh,0.4802643060684204,0.84765625,0.9691129326820374,0.65625,1.007972002029419,0.66015625
7,5,max,0.4,relu,0.49332690238952637,0.8515625,1.0619587898254395,0.65625,1.1376380920410156,0.59765625
7,5,max,0.4,tanh,0.1346130222082138,0.9713541865348816,0.9701088666915894,0.703125,1.0448650121688843,0.671875
9,3,average,0.0,relu,0.7599558234214783,0.7291666865348816,1.2272403240203857,0.55078125,1.3635207414627075,0.54296875
9,3,average,0.0,tanh,1.0143896341323853,0.65234375,1.3357958793640137,0.53125,1.4398303031921387,0.45703125
9,3,average,0.2,relu,0.4793659746646881,0.8333333134651184,1.034388780593872,0.6640625,1.2616121768951416,0.58984375
9,3,average,0.2,tanh,0.6134876608848572,0.8098958134651184,1.2475281953811646,0.5546875,1.4462114572525024,0.48046875
9,3,average,0.4,relu,0.14111663401126862,0.95703125,1.014605164527893,0.7265625,1.6181433200836182,0.6171875
9,3,average,0.4,tanh,0.32274746894836426,0.9075520634651184,1.0822452306747437,0.640625,1.459129810333252,0.55078125
9,3,max,0.0,relu,0.3387690782546997,0.8893229365348816,1.0741826295852661,0.6328125,1.2279155254364014,0.58984375
9,3,max,0.0,tanh,0.1531815081834793,0.98046875,0.9549647569656372,0.640625,1.0726795196533203,0.63671875
9,3,max,0.2,relu,0.24809859693050385,0.9153645634651184,0.9323235750198364,0.6796875,1.0709896087646484,0.65234375
9,3,max,0.2,tanh,0.03924442455172539,0.9986979365348816,0.9244637489318848,0.703125,1.000351905822754,0.71875
9,3,max,0.4,relu,0.3817830979824066,0.859375,1.0980409383773804,0.6328125,1.242210030555725,0.61328125
9,3,max,0.4,tanh,0.23910076916217804,0.9309895634651184,1.0055320262908936,0.6484375,1.0306895971298218,0.65625
9,5,average,0.0,relu,0.5893861651420593,0.7877604365348816,1.220625877380371,0.609375,1.4948662519454956,0.57421875
9,5,average,0.0,tanh,0.6745660901069641,0.796875,1.2368898391723633,0.578125,1.4835110902786255,0.47265625
9,5,average,0.2,relu,0.27961865067481995,0.9127604365348816,1.0463640689849854,0.66796875,1.3101561069488525,0.6015625
9,5,average,0.2,tanh,0.75481778383255,0.7708333134651184,1.3160290718078613,0.55078125,1.4970470666885376,0.4609375
9,5,average,0.4,relu,0.5924736261367798,0.8125,1.0630459785461426,0.61328125,1.2889355421066284,0.5546875
9,5,average,0.4,tanh,0.673544704914093,0.7786458134651184,1.14190673828125,0.6171875,1.4714879989624023,0.51171875
9,5,max,0.0,relu,0.6168608069419861,0.8020833134651184,1.0698999166488647,0.625,1.199445366859436,0.625
9,5,max,0.0,tanh,0.16334140300750732,0.984375,0.989091157913208,0.6796875,1.0364948511123657,0.6328125
9,5,max,0.2,relu,0.49883344769477844,0.8229166865348816,1.0695301294326782,0.6171875,1.227308750152588,0.61328125
