kernel_size_1,kernel_size_2,pooling,dropout_rate,activation,train_loss,train_acc,es_loss,es_acc,val_loss,val_acc
5,3,average,0.0,relu,0.5319615602493286,0.82421875,1.2007616758346558,0.58984375,1.2555179595947266,0.57421875
5,3,average,0.0,tanh,0.9711136221885681,0.671875,1.2470253705978394,0.5390625,1.4254345893859863,0.47265625
5,3,average,0.2,relu,0.5362305045127869,0.8333333134651184,1.0441231727600098,0.640625,1.3049497604370117,0.546875
5,3,average,0.2,tanh,0.7870097756385803,0.7330729365348816,1.2763559818267822,0.546875,1.4571260213851929,0.4921875
5,3,average,0.4,relu,0.6129935383796692,0.80078125,1.0543314218521118,0.6640625,1.304682731628418,0.5703125
5,3,average,0.4,tanh,0.3686210811138153,0.89453125,1.3385454416275024,0.55859375,1.4478312730789185,0.546875
5,3,max,0.0,relu,0.6023067831993103,0.7877604365348816,1.0454145669937134,0.64453125,1.0571709871292114,0.640625
5,3,max,0.0,tanh,0.15594907104969025,0.984375,0.9063456058502197,0.69140625,0.9595231413841248,0.67578125
5,3,max,0.2,relu,0.15533535182476044,0.9583333134651184,0.9940037727355957,0.6953125,1.101095199584961,0.671875
5,3,max,0.2,tanh,0.269055038690567,0.9270833134651184,0.8917513489723206,0.6796875,0.9248247742652893,0.6796875
5,3,max,0.4,relu,0.38162365555763245,0.8841145634651184,0.8489909768104553,0.6875,0.9511709213256836,0.66796875
5,3,max,0.4,tanh,0.36927738785743713,0.8828125,0.9179536700248718,0.67578125,0.9115622043609619,0.6640625
5,5,average,0.0,relu,0.6506627798080444,0.76171875,1.1652774810791016,0.57421875,1.3320914506912231,0.5546875
5,5,average,0.0,tanh,0.9034027457237244,0.7057291865348816,1.3223845958709717,0.49609375,1.4717659950256348,0.46875
5,5,average,0.2,relu,0.7396157383918762,0.7682291865348816,1.2231314182281494,0.59375,1.4141039848327637,0.56640625
5,5,average,0.2,tanh,0.48968660831451416,0.8463541865348816,1.3082612752914429,0.5625,1.4887516498565674,0.47265625
5,5,average,0.4,relu,0.7760503888130188,0.76171875,1.1687599420547485,0.625,1.3640960454940796,0.5234375
5,5,average,0.4,tanh,0.1797657161951065,0.953125,1.2627238035202026,0.6171875,1.5377845764160156,0.5859375
5,5,max,0.0,relu,0.4431943893432617,0.85546875,1.0825694799423218,0.68359375,1.022764801979065,0.671875
5,5,max,0.0,tanh,0.17991574108600616,0.9817708134651184,0.980055570602417,0.66796875,0.9386301040649414,0.6953125
5,5,max,0.2,relu,0.23992615938186646,0.9270833134651184,0.9525867104530334,0.703125,1.0854161977767944,0.66796875
5,5,max,0.2,tanh,0.0973655954003334,0.98828125,0.9783410429954529,0.6875,1.0321961641311646,0.65234375
5,5,max,0.4,relu,0.32575783133506775,0.9049479365348816,0.8918061852455139,0.7109375,1.0682373046875,0.671875
5,5,max,0.4,tanh,0.2249002456665039,0.9479166865348816,0.9096140265464783,0.6796875,1.0024806261062622,0.6953125
7,3,average,0.0,relu,0.39172860980033875,0.875,1.2559614181518555,0.62109375,1.4010770320892334,0.55859375
7,3,average,0.0,tanh,0.7440655827522278,0.76171875,1.2864971160888672,0.55078125,1.4079246520996094,0.45703125
7,3,average,0.2,relu,0.3959900140762329,0.8880208134651184,1.0670033693313599,0.6796875,1.2975575923919678,0.57421875
7,3,average,0.2,tanh,0.6557205319404602,0.78515625,1.2794065475463867,0.55859375,1.3953139781951904,0.5390625
7,3,average,0.4,relu,0.15244270861148834,0.9479166865348816,0.9397885799407959,0.69921875,1.451954960823059,0.63671875
7,3,average,0.4,tanh,0.23267246782779694,0.94921875,1.1044175624847412,0.66796875,1.4004442691802979,0.55859375
7,3,max,0.0,relu,0.31061434745788574,0.8919270634651184,1.0391910076141357,0.65625,1.0975017547607422,0.63671875
7,3,max,0.0,tanh,0.11125139147043228,0.9869791865348816,0.9766263961791992,0.66796875,0.9546256065368652,0.6875
7,3,max,0.2,relu,0.31704264879226685,0.8997395634651184,0.8788909316062927,0.70703125,0.9546210765838623,0.62890625
7,3,max,0.2,tanh,0.2589968144893646,0.9375,0.9550092220306396,0.6875,0.9820075035095215,0.66015625
7,3,max,0.4,relu,0.5012062788009644,0.8411458134651184,0.9666033983230591,0.65234375,1.0769968032836914,0.609375
7,3,max,0.4,tanh,0.15163080394268036,0.9622395634651184,0.9797810316085815,0.6953125,0.9602517485618591,0.6796875
7,5,average,0.0,relu,0.8947453498840332,0.6822916865348816,1.2733707427978516,0.5625,1.3049147129058838,0.5234375
7,5,average,0.0,tanh,1.0221946239471436,0.6354166865348816,1.3187189102172852,0.49609375,1.4192912578582764,0.46875
7,5,average,0.2,relu,0.36119022965431213,0.8854166865348816,1.1139410734176636,0.6640625,1.3746275901794434,0.609375
7,5,average,0.2,tanh,0.34472575783729553,0.90625,1.2254724502563477,0.58984375,1.457151174545288,0.52734375
7,5,average,0.4,relu,0.4427725374698639,0.859375,1.0881855487823486,0.67578125,1.4713208675384521,0.58203125
7,5,average,0.4,tanh,0.589976966381073,0.8046875,1.1389744281768799,0.57421875,1.3590497970581055,0.48828125
7,5,max,0.0,relu,0.5509373545646667,0.8125,1.0657508373260498,0.640625,1.072906494140625,0.609375
7,5,max,0.0,tanh,0.5412845611572266,0.8385416865348816,0.970763623714447,0.6484375,1.042990803718567,0.62890625
7,5,max,0.2,relu,0.40200909972190857,0.86328125,1.0796525478363037,0.65625,1.0996346473693848,0.6328125
7,5,max,0.2,tanh,0.17562676966190338,0.9583333134651184,0.993392288684845,0.66015625,0.9443057775497437,0.6953125
