resizing_size,neurons_1,neurons_2,neurons_3,dropout_rate,activation,train_loss,train_acc,es_loss,es_acc,val_loss,val_acc
8,512,256,,0.0,relu,1.0009194612503052,0.6419270634651184,1.447959303855896,0.5,1.4876513481140137,0.46484375
8,512,256,,0.0,tanh,0.6410459876060486,0.8033854365348816,1.4564248323440552,0.44140625,1.5238473415374756,0.4296875
8,512,256,,0.2,relu,0.9955262541770935,0.6731770634651184,1.4529688358306885,0.46875,1.5296645164489746,0.40625
8,512,256,,0.2,tanh,0.8940744996070862,0.7096354365348816,1.4510552883148193,0.4921875,1.4856806993484497,0.46484375
8,512,256,,0.4,relu,1.446588397026062,0.46484375,1.5793125629425049,0.3828125,1.6403717994689941,0.375
8,512,256,,0.4,tanh,1.3782521486282349,0.5130208134651184,1.5720741748809814,0.41796875,1.5687713623046875,0.41796875
8,512,256,128.0,0.0,relu,1.1669987440109253,0.5729166865348816,1.4947147369384766,0.42578125,1.4744994640350342,0.4375
8,512,256,128.0,0.0,tanh,0.6125637292861938,0.8359375,1.447557806968689,0.51953125,1.5727875232696533,0.43359375
8,512,256,128.0,0.2,relu,1.0266718864440918,0.6627604365348816,1.4678161144256592,0.45703125,1.5382554531097412,0.4296875
8,512,256,128.0,0.2,tanh,1.11021888256073,0.6380208134651184,1.5040398836135864,0.48046875,1.5144727230072021,0.44140625
8,512,256,128.0,0.4,relu,1.4747601747512817,0.44921875,1.618189811706543,0.40234375,1.6325998306274414,0.40234375
8,512,256,128.0,0.4,tanh,1.372517704963684,0.5,1.5768110752105713,0.41796875,1.5780235528945923,0.40625
8,512,256,256.0,0.0,relu,1.0615953207015991,0.6015625,1.460347294807434,0.44921875,1.4997538328170776,0.44921875
8,512,256,256.0,0.0,tanh,0.78264981508255,0.7513020634651184,1.4727293252944946,0.4609375,1.534785270690918,0.39453125
8,512,256,256.0,0.2,relu,1.023668646812439,0.6796875,1.4984207153320312,0.4609375,1.605941653251648,0.4140625
8,512,256,256.0,0.2,tanh,1.185699701309204,0.5963541865348816,1.502003788948059,0.45703125,1.5127356052398682,0.4453125
8,512,256,256.0,0.4,relu,1.3913058042526245,0.51171875,1.5966072082519531,0.36328125,1.6522173881530762,0.37109375
8,512,256,256.0,0.4,tanh,1.3507471084594727,0.5208333134651184,1.568999171257019,0.4296875,1.5706437826156616,0.4296875
8,512,512,,0.0,relu,1.047057867050171,0.625,1.4719867706298828,0.4765625,1.458832859992981,0.43359375
8,512,512,,0.0,tanh,0.9125820994377136,0.6861979365348816,1.46256685256958,0.44140625,1.5315141677856445,0.4453125
8,512,512,,0.2,relu,1.2310394048690796,0.5859375,1.4694879055023193,0.46875,1.5761981010437012,0.40234375
8,512,512,,0.2,tanh,1.0911885499954224,0.6263020634651184,1.460628628730774,0.4609375,1.4922443628311157,0.4375
8,512,512,,0.4,relu,1.2912415266036987,0.5286458134651184,1.5887622833251953,0.37890625,1.6931276321411133,0.3828125
8,512,512,,0.4,tanh,1.3395479917526245,0.53125,1.537803292274475,0.421875,1.562056303024292,0.4375
8,512,512,128.0,0.0,relu,1.172183871269226,0.5794270634651184,1.5006780624389648,0.4296875,1.5046344995498657,0.4375
8,512,512,128.0,0.0,tanh,0.692398726940155,0.7877604365348816,1.4494447708129883,0.47265625,1.5278215408325195,0.4140625
8,512,512,128.0,0.2,relu,1.2423570156097412,0.5559895634651184,1.5141633749008179,0.4296875,1.5440858602523804,0.3984375
8,512,512,128.0,0.2,tanh,1.0566343069076538,0.640625,1.497707724571228,0.48046875,1.5019910335540771,0.44140625
8,512,512,128.0,0.4,relu,1.433671474456787,0.4973958432674408,1.6009869575500488,0.4375,1.621397852897644,0.38671875
8,512,512,128.0,0.4,tanh,1.3900179862976074,0.5091145634651184,1.5606083869934082,0.4140625,1.54365074634552,0.421875
8,512,512,256.0,0.0,relu,0.975182294845581,0.6640625,1.5388612747192383,0.4296875,1.5583240985870361,0.40234375
8,512,512,256.0,0.0,tanh,0.6421136260032654,0.7942708134651184,1.441868782043457,0.48046875,1.5354275703430176,0.4375
8,512,512,256.0,0.2,relu,1.1093569993972778,0.6184895634651184,1.4830721616744995,0.453125,1.5886342525482178,0.39453125
8,512,512,256.0,0.2,tanh,0.9371499419212341,0.7083333134651184,1.48244309425354,0.46875,1.5095009803771973,0.41796875
8,512,512,256.0,0.4,relu,1.4260053634643555,0.50390625,1.6087106466293335,0.390625,1.6581034660339355,0.36328125
8,512,512,256.0,0.4,tanh,1.3213157653808594,0.5364583134651184,1.5647672414779663,0.4375,1.5653825998306274,0.4375
8,1024,256,,0.0,relu,1.145707368850708,0.5924479365348816,1.4678444862365723,0.44921875,1.4765657186508179,0.453125
8,1024,256,,0.0,tanh,1.0316734313964844,0.64453125,1.48245108127594,0.44140625,1.468550205230713,0.45703125
8,1024,256,,0.2,relu,1.211334228515625,0.58203125,1.4561189413070679,0.4765625,1.5273737907409668,0.421875
8,1024,256,,0.2,tanh,0.8245136141777039,0.76171875,1.4728859663009644,0.453125,1.5003662109375,0.42578125
8,1024,256,,0.4,relu,1.3897002935409546,0.5390625,1.5483430624008179,0.43359375,1.6197162866592407,0.42578125
